Year BS,Year AD,Protected Area,Classification,Month,No of tourist
2069/70,2012/13,Annapurna Conservation Area,Conservation Area,Shrawan,4386
2069/70,2012/13,Annapurna Conservation Area,Conservation Area,Bhadra,5320
2069/70,2012/13,Annapurna Conservation Area,Conservation Area,Aswin,23549
2069/70,2012/13,Annapurna Conservation Area,Conservation Area,Kartik,15181
2069/70,2012/13,Annapurna Conservation Area,Conservation Area,Mansir,6547
2069/70,2012/13,Annapurna Conservation Area,Conservation Area,Paush,5302
2069/70,2012/13,Annapurna Conservation Area,Conservation Area,Magh,6051
2069/70,2012/13,Annapurna Conservation Area,Conservation Area,Fagun,7885
2069/70,2012/13,Annapurna Conservation Area,Conservation Area,Chaitra,14853
2069/70,2012/13,Annapurna Conservation Area,Conservation Area,Baisakh,12891
2069/70,2012/13,Annapurna Conservation Area,Conservation Area,Jesth,6560
2069/70,2012/13,Annapurna Conservation Area,Conservation Area,Asar,4688
2069/70,2012/13,Apinappa Consersation Area,Conservation Area,Shrawan,-
2069/70,2012/13,Apinappa Consersation Area,Conservation Area,Bhadra,-
2069/70,2012/13,Apinappa Consersation Area,Conservation Area,Aswin,-
2069/70,2012/13,Apinappa Consersation Area,Conservation Area,Kartik,-
2069/70,2012/13,Apinappa Consersation Area,Conservation Area,Mansir,-
2069/70,2012/13,Apinappa Consersation Area,Conservation Area,Paush,-
2069/70,2012/13,Apinappa Consersation Area,Conservation Area,Magh,-
2069/70,2012/13,Apinappa Consersation Area,Conservation Area,Fagun,-
2069/70,2012/13,Apinappa Consersation Area,Conservation Area,Chaitra,-
2069/70,2012/13,Apinappa Consersation Area,Conservation Area,Baisakh,-
2069/70,2012/13,Apinappa Consersation Area,Conservation Area,Jesth,-
2069/70,2012/13,Apinappa Consersation Area,Conservation Area,Asar,-
2069/70,2012/13,Bardiya National Park,National Park,Shrawan,191
2069/70,2012/13,Bardiya National Park,National Park,Bhadra,242
2069/70,2012/13,Bardiya National Park,National Park,Aswin,944
2069/70,2012/13,Bardiya National Park,National Park,Kartik,2622
2069/70,2012/13,Bardiya National Park,National Park,Mansir,1530
2069/70,2012/13,Bardiya National Park,National Park,Paush,1032
2069/70,2012/13,Bardiya National Park,National Park,Magh,645
2069/70,2012/13,Bardiya National Park,National Park,Fagun,1184
2069/70,2012/13,Bardiya National Park,National Park,Chaitra,2183
2069/70,2012/13,Bardiya National Park,National Park,Baisakh,1516
2069/70,2012/13,Bardiya National Park,National Park,Jesth,722
2069/70,2012/13,Bardiya National Park,National Park,Asar,163
2069/70,2012/13,Banke National Park,National Park,Shrawan,-
2069/70,2012/13,Banke National Park,National Park,Bhadra,-
2069/70,2012/13,Banke National Park,National Park,Aswin,-
2069/70,2012/13,Banke National Park,National Park,Kartik,-
2069/70,2012/13,Banke National Park,National Park,Mansir,-
2069/70,2012/13,Banke National Park,National Park,Paush,-
2069/70,2012/13,Banke National Park,National Park,Magh,-
2069/70,2012/13,Banke National Park,National Park,Fagun,-
2069/70,2012/13,Banke National Park,National Park,Chaitra,-
2069/70,2012/13,Banke National Park,National Park,Baisakh,-
2069/70,2012/13,Banke National Park,National Park,Jesth,-
2069/70,2012/13,Banke National Park,National Park,Asar,-
2069/70,2012/13,Chitwan National Park,National Park,Shrawan,9869
2069/70,2012/13,Chitwan National Park,National Park,Bhadra,7453
2069/70,2012/13,Chitwan National Park,National Park,Aswin,15461
2069/70,2012/13,Chitwan National Park,National Park,Kartik,22701
2069/70,2012/13,Chitwan National Park,National Park,Mansir,14581
2069/70,2012/13,Chitwan National Park,National Park,Paush,12134
2069/70,2012/13,Chitwan National Park,National Park,Magh,10526
2069/70,2012/13,Chitwan National Park,National Park,Fagun,14424
2069/70,2012/13,Chitwan National Park,National Park,Chaitra,16987
2069/70,2012/13,Chitwan National Park,National Park,Baisakh,13620
2069/70,2012/13,Chitwan National Park,National Park,Jesth,9803
2069/70,2012/13,Chitwan National Park,National Park,Asar,6190
2069/70,2012/13,Dhorpatan Hunting Reserve,Hunting Reserve,Shrawan,-
2069/70,2012/13,Dhorpatan Hunting Reserve,Hunting Reserve,Bhadra,-
2069/70,2012/13,Dhorpatan Hunting Reserve,Hunting Reserve,Aswin,16
2069/70,2012/13,Dhorpatan Hunting Reserve,Hunting Reserve,Kartik,29
2069/70,2012/13,Dhorpatan Hunting Reserve,Hunting Reserve,Mansir,7
2069/70,2012/13,Dhorpatan Hunting Reserve,Hunting Reserve,Paush,1
2069/70,2012/13,Dhorpatan Hunting Reserve,Hunting Reserve,Magh,1
2069/70,2012/13,Dhorpatan Hunting Reserve,Hunting Reserve,Fagun,8
2069/70,2012/13,Dhorpatan Hunting Reserve,Hunting Reserve,Chaitra,6
2069/70,2012/13,Dhorpatan Hunting Reserve,Hunting Reserve,Baisakh,8
2069/70,2012/13,Dhorpatan Hunting Reserve,Hunting Reserve,Jesth,12
2069/70,2012/13,Dhorpatan Hunting Reserve,Hunting Reserve,Asar,-
2069/70,2012/13,Gaurishankar Conservation Area,Conservation Area,Shrawan,10
2069/70,2012/13,Gaurishankar Conservation Area,Conservation Area,Bhadra,52
2069/70,2012/13,Gaurishankar Conservation Area,Conservation Area,Aswin,359
2069/70,2012/13,Gaurishankar Conservation Area,Conservation Area,Kartik,170
2069/70,2012/13,Gaurishankar Conservation Area,Conservation Area,Mansir,34
2069/70,2012/13,Gaurishankar Conservation Area,Conservation Area,Paush,38
2069/70,2012/13,Gaurishankar Conservation Area,Conservation Area,Magh,22
2069/70,2012/13,Gaurishankar Conservation Area,Conservation Area,Fagun,98
2069/70,2012/13,Gaurishankar Conservation Area,Conservation Area,Chaitra,198
2069/70,2012/13,Gaurishankar Conservation Area,Conservation Area,Baisakh,64
2069/70,2012/13,Gaurishankar Conservation Area,Conservation Area,Jesth,23
2069/70,2012/13,Gaurishankar Conservation Area,Conservation Area,Asar,36
2069/70,2012/13,Kanchanjunga Conservation Area,Conservation Area,Shrawan,-
2069/70,2012/13,Kanchanjunga Conservation Area,Conservation Area,Bhadra,20
2069/70,2012/13,Kanchanjunga Conservation Area,Conservation Area,Aswin,162
2069/70,2012/13,Kanchanjunga Conservation Area,Conservation Area,Kartik,233
2069/70,2012/13,Kanchanjunga Conservation Area,Conservation Area,Mansir,15
2069/70,2012/13,Kanchanjunga Conservation Area,Conservation Area,Paush,2
2069/70,2012/13,Kanchanjunga Conservation Area,Conservation Area,Magh,-
2069/70,2012/13,Kanchanjunga Conservation Area,Conservation Area,Fagun,9
2069/70,2012/13,Kanchanjunga Conservation Area,Conservation Area,Chaitra,46
2069/70,2012/13,Kanchanjunga Conservation Area,Conservation Area,Baisakh,84
2069/70,2012/13,Kanchanjunga Conservation Area,Conservation Area,Jesth,11
2069/70,2012/13,Kanchanjunga Conservation Area,Conservation Area,Asar,24
2069/70,2012/13,Khaptad National Park,National Park,Shrawan,1
2069/70,2012/13,Khaptad National Park,National Park,Bhadra,0
2069/70,2012/13,Khaptad National Park,National Park,Aswin,0
2069/70,2012/13,Khaptad National Park,National Park,Kartik,4
2069/70,2012/13,Khaptad National Park,National Park,Mansir,1
2069/70,2012/13,Khaptad National Park,National Park,Paush,0
2069/70,2012/13,Khaptad National Park,National Park,Magh,1
2069/70,2012/13,Khaptad National Park,National Park,Fagun,3
2069/70,2012/13,Khaptad National Park,National Park,Chaitra,1
2069/70,2012/13,Khaptad National Park,National Park,Baisakh,7
2069/70,2012/13,Khaptad National Park,National Park,Jesth,0
2069/70,2012/13,Khaptad National Park,National Park,Asar,1
2069/70,2012/13,Koshi Tappu Wildlife Reserve,Wildlife Reserve,Shrawan,210
2069/70,2012/13,Koshi Tappu Wildlife Reserve,Wildlife Reserve,Bhadra,239
2069/70,2012/13,Koshi Tappu Wildlife Reserve,Wildlife Reserve,Aswin,211
2069/70,2012/13,Koshi Tappu Wildlife Reserve,Wildlife Reserve,Kartik,406
2069/70,2012/13,Koshi Tappu Wildlife Reserve,Wildlife Reserve,Mansir,440
2069/70,2012/13,Koshi Tappu Wildlife Reserve,Wildlife Reserve,Paush,342
2069/70,2012/13,Koshi Tappu Wildlife Reserve,Wildlife Reserve,Magh,398
2069/70,2012/13,Koshi Tappu Wildlife Reserve,Wildlife Reserve,Fagun,481
2069/70,2012/13,Koshi Tappu Wildlife Reserve,Wildlife Reserve,Chaitra,299
2069/70,2012/13,Koshi Tappu Wildlife Reserve,Wildlife Reserve,Baisakh,434
2069/70,2012/13,Koshi Tappu Wildlife Reserve,Wildlife Reserve,Jesth,387
2069/70,2012/13,Koshi Tappu Wildlife Reserve,Wildlife Reserve,Asar,599
2069/70,2012/13,Krishnasar Conservation Area,Conservation Area,Shrawan,-
2069/70,2012/13,Krishnasar Conservation Area,Conservation Area,Bhadra,19
2069/70,2012/13,Krishnasar Conservation Area,Conservation Area,Aswin,7
2069/70,2012/13,Krishnasar Conservation Area,Conservation Area,Kartik,2
2069/70,2012/13,Krishnasar Conservation Area,Conservation Area,Mansir,8
2069/70,2012/13,Krishnasar Conservation Area,Conservation Area,Paush,-
2069/70,2012/13,Krishnasar Conservation Area,Conservation Area,Magh,4
2069/70,2012/13,Krishnasar Conservation Area,Conservation Area,Fagun,3
2069/70,2012/13,Krishnasar Conservation Area,Conservation Area,Chaitra,6
2069/70,2012/13,Krishnasar Conservation Area,Conservation Area,Baisakh,5
2069/70,2012/13,Krishnasar Conservation Area,Conservation Area,Jesth,-
2069/70,2012/13,Krishnasar Conservation Area,Conservation Area,Asar,-
2069/70,2012/13,Langtang National Park,National Park,Shrawan,390
2069/70,2012/13,Langtang National Park,National Park,Bhadra,454
2069/70,2012/13,Langtang National Park,National Park,Aswin,2161
2069/70,2012/13,Langtang National Park,National Park,Kartik,2316
2069/70,2012/13,Langtang National Park,National Park,Mansir,1142
2069/70,2012/13,Langtang National Park,National Park,Paush,603
2069/70,2012/13,Langtang National Park,National Park,Magh,446
2069/70,2012/13,Langtang National Park,National Park,Fagun,1051
2069/70,2012/13,Langtang National Park,National Park,Chaitra,2746
2069/70,2012/13,Langtang National Park,National Park,Baisakh,1413
2069/70,2012/13,Langtang National Park,National Park,Jesth,435
2069/70,2012/13,Langtang National Park,National Park,Asar,213
2069/70,2012/13,Makalu Barun National Park,National Park,Shrawan,2
2069/70,2012/13,Makalu Barun National Park,National Park,Bhadra,-
2069/70,2012/13,Makalu Barun National Park,National Park,Aswin,115
2069/70,2012/13,Makalu Barun National Park,National Park,Kartik,846
2069/70,2012/13,Makalu Barun National Park,National Park,Mansir,115
2069/70,2012/13,Makalu Barun National Park,National Park,Paush,3
2069/70,2012/13,Makalu Barun National Park,National Park,Magh,-
2069/70,2012/13,Makalu Barun National Park,National Park,Fagun,10
2069/70,2012/13,Makalu Barun National Park,National Park,Chaitra,161
2069/70,2012/13,Makalu Barun National Park,National Park,Baisakh,254
2069/70,2012/13,Makalu Barun National Park,National Park,Jesth,17
2069/70,2012/13,Makalu Barun National Park,National Park,Asar,0
2069/70,2012/13,Manaslu Conservation Area,Conservation Area,Shrawan,38
2069/70,2012/13,Manaslu Conservation Area,Conservation Area,Bhadra,316
2069/70,2012/13,Manaslu Conservation Area,Conservation Area,Aswin,1208
2069/70,2012/13,Manaslu Conservation Area,Conservation Area,Kartik,1134
2069/70,2012/13,Manaslu Conservation Area,Conservation Area,Mansir,115
2069/70,2012/13,Manaslu Conservation Area,Conservation Area,Paush,23
2069/70,2012/13,Manaslu Conservation Area,Conservation Area,Magh,44
2069/70,2012/13,Manaslu Conservation Area,Conservation Area,Fagun,218
2069/70,2012/13,Manaslu Conservation Area,Conservation Area,Chaitra,681
2069/70,2012/13,Manaslu Conservation Area,Conservation Area,Baisakh,353
2069/70,2012/13,Manaslu Conservation Area,Conservation Area,Jesth,41
2069/70,2012/13,Manaslu Conservation Area,Conservation Area,Asar,31
2069/70,2012/13,Parsa Wildlife Reserve,Wildlife Reserve,Shrawan,15
2069/70,2012/13,Parsa Wildlife Reserve,Wildlife Reserve,Bhadra,26
2069/70,2012/13,Parsa Wildlife Reserve,Wildlife Reserve,Aswin,8
2069/70,2012/13,Parsa Wildlife Reserve,Wildlife Reserve,Kartik,12
2069/70,2012/13,Parsa Wildlife Reserve,Wildlife Reserve,Mansir,7
2069/70,2012/13,Parsa Wildlife Reserve,Wildlife Reserve,Paush,16
2069/70,2012/13,Parsa Wildlife Reserve,Wildlife Reserve,Magh,1
2069/70,2012/13,Parsa Wildlife Reserve,Wildlife Reserve,Fagun,40
2069/70,2012/13,Parsa Wildlife Reserve,Wildlife Reserve,Chaitra,9
2069/70,2012/13,Parsa Wildlife Reserve,Wildlife Reserve,Baisakh,27
2069/70,2012/13,Parsa Wildlife Reserve,Wildlife Reserve,Jesth,11
2069/70,2012/13,Parsa Wildlife Reserve,Wildlife Reserve,Asar,20
2069/70,2012/13,Rara National Park,National Park,Shrawan,6
2069/70,2012/13,Rara National Park,National Park,Bhadra,11
2069/70,2012/13,Rara National Park,National Park,Aswin,45
2069/70,2012/13,Rara National Park,National Park,Kartik,28
2069/70,2012/13,Rara National Park,National Park,Mansir,7
2069/70,2012/13,Rara National Park,National Park,Paush,6
2069/70,2012/13,Rara National Park,National Park,Magh,-
2069/70,2012/13,Rara National Park,National Park,Fagun,-
2069/70,2012/13,Rara National Park,National Park,Chaitra,23
2069/70,2012/13,Rara National Park,National Park,Baisakh,16
2069/70,2012/13,Rara National Park,National Park,Jesth,15
2069/70,2012/13,Rara National Park,National Park,Asar,7
2069/70,2012/13,Sagarmatha National Park,National Park,Shrawan,569
2069/70,2012/13,Sagarmatha National Park,National Park,Bhadra,1047
2069/70,2012/13,Sagarmatha National Park,National Park,Aswin,6649
2069/70,2012/13,Sagarmatha National Park,National Park,Kartik,9105
2069/70,2012/13,Sagarmatha National Park,National Park,Mansir,2772
2069/70,2012/13,Sagarmatha National Park,National Park,Paush,1506
2069/70,2012/13,Sagarmatha National Park,National Park,Magh,748
2069/70,2012/13,Sagarmatha National Park,National Park,Fagun,2027
2069/70,2012/13,Sagarmatha National Park,National Park,Chaitra,6179
2069/70,2012/13,Sagarmatha National Park,National Park,Baisakh,4809
2069/70,2012/13,Sagarmatha National Park,National Park,Jesth,1153
2069/70,2012/13,Sagarmatha National Park,National Park,Asar,186
2069/70,2012/13,Shey Phoksundo National Park,National Park,Shrawan,27
2069/70,2012/13,Shey Phoksundo National Park,National Park,Bhadra,153
2069/70,2012/13,Shey Phoksundo National Park,National Park,Aswin,237
2069/70,2012/13,Shey Phoksundo National Park,National Park,Kartik,138
2069/70,2012/13,Shey Phoksundo National Park,National Park,Mansir,6
2069/70,2012/13,Shey Phoksundo National Park,National Park,Paush,-
2069/70,2012/13,Shey Phoksundo National Park,National Park,Magh,4
2069/70,2012/13,Shey Phoksundo National Park,National Park,Fagun,-
2069/70,2012/13,Shey Phoksundo National Park,National Park,Chaitra,4
2069/70,2012/13,Shey Phoksundo National Park,National Park,Baisakh,39
2069/70,2012/13,Shey Phoksundo National Park,National Park,Jesth,9
2069/70,2012/13,Shey Phoksundo National Park,National Park,Asar,3
2069/70,2012/13,Shivapuri Nagarjun National Park,National Park,Shrawan,13095
2069/70,2012/13,Shivapuri Nagarjun National Park,National Park,Bhadra,14546
2069/70,2012/13,Shivapuri Nagarjun National Park,National Park,Aswin,12606
2069/70,2012/13,Shivapuri Nagarjun National Park,National Park,Kartik,13661
2069/70,2012/13,Shivapuri Nagarjun National Park,National Park,Mansir,13279
2069/70,2012/13,Shivapuri Nagarjun National Park,National Park,Paush,13215
2069/70,2012/13,Shivapuri Nagarjun National Park,National Park,Magh,9145
2069/70,2012/13,Shivapuri Nagarjun National Park,National Park,Fagun,13186
2069/70,2012/13,Shivapuri Nagarjun National Park,National Park,Chaitra,16302
2069/70,2012/13,Shivapuri Nagarjun National Park,National Park,Baisakh,19332
2069/70,2012/13,Shivapuri Nagarjun National Park,National Park,Jesth,15486
2069/70,2012/13,Shivapuri Nagarjun National Park,National Park,Asar,12051
2069/70,2012/13,Shukla Phata Wildlife Reserve,Wildlife Reserve,Shrawan,-
2069/70,2012/13,Shukla Phata Wildlife Reserve,Wildlife Reserve,Bhadra,-
2069/70,2012/13,Shukla Phata Wildlife Reserve,Wildlife Reserve,Aswin,22
2069/70,2012/13,Shukla Phata Wildlife Reserve,Wildlife Reserve,Kartik,71
2069/70,2012/13,Shukla Phata Wildlife Reserve,Wildlife Reserve,Mansir,41
2069/70,2012/13,Shukla Phata Wildlife Reserve,Wildlife Reserve,Paush,44
2069/70,2012/13,Shukla Phata Wildlife Reserve,Wildlife Reserve,Magh,20
2069/70,2012/13,Shukla Phata Wildlife Reserve,Wildlife Reserve,Fagun,64
2069/70,2012/13,Shukla Phata Wildlife Reserve,Wildlife Reserve,Chaitra,110
2069/70,2012/13,Shukla Phata Wildlife Reserve,Wildlife Reserve,Baisakh,38
2069/70,2012/13,Shukla Phata Wildlife Reserve,Wildlife Reserve,Jesth,46
